time,usage
2022-06-14 11:21:10,0.755667
2022-06-14 11:21:09,3.7594
2022-06-14 11:21:08,1
2022-06-14 11:21:07,16.6667
2022-06-14 11:21:06,63.2911
2022-06-14 11:21:05,69.8254
2022-06-14 11:21:04,68.7345
2022-06-14 11:21:03,67.8304
2022-06-14 11:21:02,76.0101
2022-06-14 11:21:01,89.7756
2022-06-14 11:21:00,82.75
2022-06-14 11:20:59,81.6176
2022-06-14 11:20:58,90.8861
2022-06-14 11:20:57,95.7179
2022-06-14 11:20:56,92.6952
2022-06-14 11:20:55,91.0941
2022-06-14 11:20:54,51.3924
2022-06-14 11:20:53,0.75
2022-06-14 11:20:52,1.00251
2022-06-14 11:20:51,0.501253
2022-06-14 11:20:50,21.0526
2022-06-14 11:20:49,99.2481
2022-06-14 11:20:48,99.4987
2022-06-14 11:20:47,99.2481
2022-06-14 11:20:46,99.005
2022-06-14 11:20:45,99.0025
2022-06-14 11:20:44,78.75
2022-06-14 11:20:43,4.97512
2022-06-14 11:20:42,88.2206
2022-06-14 11:20:41,99.25
2022-06-14 11:20:40,99.0025
2022-06-14 11:20:39,98.9975
2022-06-14 11:20:38,98.75
2022-06-14 11:20:37,81.6121
2022-06-14 11:20:36,1
2022-06-14 11:20:35,0.502513
2022-06-14 11:20:34,12.3457
2022-06-14 11:20:33,93.6709
2022-06-14 11:20:32,99.2462
2022-06-14 11:20:31,99
2022-06-14 11:20:30,99.2405
2022-06-14 11:20:29,97.9644
2022-06-14 11:20:28,78.9873
2022-06-14 11:20:27,1.49254
2022-06-14 11:20:26,25.5528
2022-06-14 11:20:25,74.1294
2022-06-14 11:20:24,98.2456
2022-06-14 11:20:23,98.4925
2022-06-14 11:20:22,98.7277
2022-06-14 11:20:21,98.2278
2022-06-14 11:20:20,97.9849
2022-06-14 11:20:19,97.995
2022-06-14 11:20:18,98.4887
2022-06-14 11:20:17,99.0025
2022-06-14 11:20:16,98.4887
2022-06-14 11:20:15,98.7405
2022-06-14 11:20:14,97.75
2022-06-14 11:20:13,97.9798
2022-06-14 11:20:12,98.4887
2022-06-14 11:20:11,99.2481
2022-06-14 11:20:10,98.4887
2022-06-14 11:20:09,98.9899
2022-06-14 11:20:08,97.733
2022-06-14 11:20:07,98.263
2022-06-14 11:20:06,98.2412
2022-06-14 11:20:05,98.7469
2022-06-14 11:20:04,98.7469
2022-06-14 11:20:03,98.005
2022-06-14 11:20:02,98.25
2022-06-14 11:20:01,97.9695
2022-06-14 11:20:00,98.2412
