Select workload
1. aggregation Workload
2. join Workload
3. select Workload

>>> BENCHMARK-MODE: THE WORKLOAD WILL RUN 3 TIMES


>>> CLEANING PREVIOUS OUTPUTS

SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/local/hive/lib/log4j-slf4j-impl-2.10.0.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/local/hadoop/share/hadoop/common/lib/slf4j-log4j12-1.7.30.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.apache.logging.slf4j.Log4jLoggerFactory]
Hive Session ID = 9aa68940-774c-4b07-a8d3-8c419edf7a5b

Logging initialized using configuration in jar:file:/usr/local/hive/lib/hive-common-3.1.2.jar!/hive-log4j2.properties Async: true
Hive Session ID = ab97499a-1211-40ec-bc12-c54c1a1b47a2
OK
Time taken: 0.638 seconds

>>> PREPARING FOR BENCHMARK - HADOOP CLUSTER

Preparing datanode1 for the benchmark
Preparing datanode2 for the benchmark
Preparing datanode3 for the benchmark
Preparing datanode4 for the benchmark
Preparing datanode5 for the benchmark
Preparing namenode for the benchmark

>>> STARTING HIVE JOIN: Thu Jul  7 09:30:21 UTC 2022 (1657186221)

SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/local/hive/lib/log4j-slf4j-impl-2.10.0.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/local/hadoop/share/hadoop/common/lib/slf4j-log4j12-1.7.30.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.apache.logging.slf4j.Log4jLoggerFactory]
Hive Session ID = 0ca132c6-2a00-47d2-8d4f-5bf8ea4a15a6

Logging initialized using configuration in jar:file:/usr/local/hive/lib/hive-common-3.1.2.jar!/hive-log4j2.properties Async: true
Hive Session ID = 4eda6b77-2e00-485a-9df8-1adc023f0aa9
Query ID = root_20220707093030_1e82fe80-1b13-48da-a0b5-cbb00329a82f
Total jobs = 1
Launching Job 1 out of 1
Number of reduce tasks not specified. Estimated from input data size: 1009
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1655196875471_0240, Tracking URL = http://namenode:8088/proxy/application_1655196875471_0240/
Kill Command = /usr/local/hadoop/bin/mapred job  -kill job_1655196875471_0240
Hadoop job information for Stage-1: number of mappers: 9281; number of reducers: 1009
2022-07-07 09:30:41,891 Stage-1 map = 0%,  reduce = 0%
2022-07-07 09:31:42,628 Stage-1 map = 0%,  reduce = 0%, Cumulative CPU 830.0 sec
2022-07-07 09:32:25,979 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 1524.9 sec
2022-07-07 09:33:26,715 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 2516.84 sec
2022-07-07 09:34:27,187 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 3516.05 sec
2022-07-07 09:34:41,377 Stage-1 map = 2%,  reduce = 0%, Cumulative CPU 3777.75 sec
2022-07-07 09:35:42,220 Stage-1 map = 2%,  reduce = 0%, Cumulative CPU 4787.62 sec
2022-07-07 09:36:42,941 Stage-1 map = 2%,  reduce = 0%, Cumulative CPU 5785.05 sec
2022-07-07 09:36:53,844 Stage-1 map = 3%,  reduce = 0%, Cumulative CPU 5884.02 sec
2022-07-07 09:37:54,790 Stage-1 map = 3%,  reduce = 0%, Cumulative CPU 6859.71 sec
2022-07-07 09:38:55,560 Stage-1 map = 3%,  reduce = 0%, Cumulative CPU 7847.95 sec
2022-07-07 09:39:19,788 Stage-1 map = 4%,  reduce = 0%, Cumulative CPU 8294.72 sec
2022-07-07 09:40:20,505 Stage-1 map = 4%,  reduce = 0%, Cumulative CPU 9310.38 sec
2022-07-07 09:41:20,573 Stage-1 map = 4%,  reduce = 0%, Cumulative CPU 10279.03 sec
2022-07-07 09:41:35,870 Stage-1 map = 5%,  reduce = 0%, Cumulative CPU 10506.36 sec
2022-07-07 09:42:36,718 Stage-1 map = 5%,  reduce = 0%, Cumulative CPU 11514.51 sec
2022-07-07 09:43:37,687 Stage-1 map = 5%,  reduce = 0%, Cumulative CPU 12478.59 sec
2022-07-07 09:43:53,890 Stage-1 map = 6%,  reduce = 0%, Cumulative CPU 12727.25 sec
2022-07-07 09:44:54,517 Stage-1 map = 6%,  reduce = 0%, Cumulative CPU 13737.67 sec
2022-07-07 09:45:55,392 Stage-1 map = 6%,  reduce = 0%, Cumulative CPU 14700.06 sec
2022-07-07 09:46:11,656 Stage-1 map = 7%,  reduce = 0%, Cumulative CPU 15038.14 sec
2022-07-07 09:47:12,701 Stage-1 map = 7%,  reduce = 0%, Cumulative CPU 16006.07 sec
2022-07-07 09:48:13,168 Stage-1 map = 7%,  reduce = 0%, Cumulative CPU 17013.72 sec
2022-07-07 09:48:25,295 Stage-1 map = 8%,  reduce = 0%, Cumulative CPU 17163.38 sec
2022-07-07 09:49:26,019 Stage-1 map = 8%,  reduce = 0%, Cumulative CPU 18190.14 sec
2022-07-07 09:50:26,894 Stage-1 map = 8%,  reduce = 0%, Cumulative CPU 19166.98 sec
2022-07-07 09:50:47,579 Stage-1 map = 9%,  reduce = 0%, Cumulative CPU 19507.61 sec
