time,usage
2022-05-30 17:56:50,0.746269
2022-05-30 17:56:49,0.251256
2022-05-30 17:56:48,0.502513
2022-05-30 17:56:47,0.498753
2022-05-30 17:56:46,0.502513
2022-05-30 17:56:45,0.498753
2022-05-30 17:56:44,0.251256
2022-05-30 17:56:43,0.501253
2022-05-30 17:56:42,0.501253
2022-05-30 17:56:41,0
2022-05-30 17:56:40,0.74813
2022-05-30 17:56:39,0.501253
2022-05-30 17:56:38,1.51899
2022-05-30 17:56:37,1.50376
2022-05-30 17:56:36,0.25
2022-05-30 17:56:35,0.753769
2022-05-30 17:56:34,0.252525
2022-05-30 17:56:33,0.753769
2022-05-30 17:56:32,1.24378
2022-05-30 17:56:31,0
2022-05-30 17:56:30,0.75
2022-05-30 17:56:29,0.250627
2022-05-30 17:56:28,0.501253
2022-05-30 17:56:27,0.75
2022-05-30 17:56:26,0.753769
2022-05-30 17:56:25,0
2022-05-30 17:56:24,0.250627
2022-05-30 17:56:23,0.75188
2022-05-30 17:56:22,23.399
2022-05-30 17:56:21,57.7114
2022-05-30 17:56:20,72.973
2022-05-30 17:56:19,24.0099
2022-05-30 17:56:18,21.4458
2022-05-30 17:56:17,56.0494
2022-05-30 17:56:16,13.3501
2022-05-30 17:56:15,0.250627
2022-05-30 17:56:14,0
2022-05-30 17:56:13,0.501253
2022-05-30 17:56:12,0.251256
2022-05-30 17:56:11,0.501253
2022-05-30 17:56:10,0.5
2022-05-30 17:56:09,0
2022-05-30 17:56:08,0.251256
2022-05-30 17:56:07,0.74813
2022-05-30 17:56:06,0.75188
2022-05-30 17:56:05,0.501253
2022-05-30 17:56:04,18.136
2022-05-30 17:56:03,37.0277
2022-05-30 17:56:02,53.9604
2022-05-30 17:56:01,16.1692
2022-05-30 17:56:00,0.5
2022-05-30 17:55:59,1.00503
2022-05-30 17:55:58,0.250627
2022-05-30 17:55:57,1.00251
2022-05-30 17:55:56,1.25313
2022-05-30 17:55:55,0.997506
2022-05-30 17:55:54,0.501253
2022-05-30 17:55:53,0.251256
2022-05-30 17:55:52,0.250627
2022-05-30 17:55:51,0.501253
2022-05-30 17:55:50,0.251256
2022-05-30 17:55:49,18.408
2022-05-30 17:55:48,36.2963
2022-05-30 17:55:47,55.5283
2022-05-30 17:55:46,19.0476
2022-05-30 17:55:45,0.251889
2022-05-30 17:55:44,0.997506
2022-05-30 17:55:43,18.5464
2022-05-30 17:55:42,35.3383
2022-05-30 17:55:41,56.6416
2022-05-30 17:55:40,16.792
2022-05-30 17:55:39,0.251256
2022-05-30 17:55:38,0.251256
